Course,Day,Begin Time,End Time,Room,Start,Count,End,Count
E E 422C,TTH,9:30 AM,11:00 AM,EER 1.518,8:00 AM,12,9:00 AM,1
E E 422C,TTH,12:30 PM,2:00 PM,BUR 216,8:30 AM,3,9:30 AM,12
E E 325,MW,9:00 AM,10:30 AM,UTC 4.124,9:00 AM,33,10:00 AM,19
E E 333T,MWF,9:00 AM,10:00 AM,ECJ 1.222,9:30 AM,37,10:30 AM,5
E E 333T,TTH,9:30 AM,11:00 AM,ECJ 1.222,10:00 AM,28,11:00 AM,68
E E 333T,MWF,11:00 AM,12:00 PM,ECJ 1.222,10:30 AM,5,11:30 AM,3
E E 333T,TTH,11:00 AM,12:30 PM,ECJ 1.306,11:00 AM,79,12:00 PM,36
E E 333T,MW,12:00 PM,1:30 PM,ECJ 1.306,11:30 AM,2,12:30 PM,48
E E 333T,MWF,1:00 PM,2:00 PM,ECJ 1.222,12:00 PM,19,1:00 PM,23
E E 333T,MW,1:30 PM,3:00 PM,ECJ 1.306,12:30 PM,47,1:30 PM,2
E E 438,TTH,12:30 PM,2:00 PM,BUR 134,1:00 PM,24,2:00 PM,66
E E 338L,TTH,2:00 PM,3:30 PM,ECJ 1.312,1:30 PM,1,2:30 PM,4
E E 339,MW,10:30 AM,12:00 PM,CPE 2.204,2:00 PM,73,3:00 PM,21
E E 440,MW,10:30 AM,12:00 PM,ECJ 1.314,2:30 PM,5,3:30 PM,45
E E 445L,TTH,3:30 PM,5:00 PM,BUR 224,3:00 PM,11,4:00 PM,15
E E 445S,MW,10:30 AM,12:00 PM,RLM 5.124,3:30 PM,36,4:30 PM,3
E E 351K,MW,9:00 AM,10:30 AM,UTC 3.122,4:00 PM,12,5:00 PM,41
E E 351K,TTH,12:30 PM,2:00 PM,EER 1.516,4:30 PM,0,5:30 PM,6
E E 351K,TTH,3:30 PM,5:00 PM,CPE 2.204,5:00 PM,14,6:00 PM,7
E E 351M,MW,9:00 AM,10:30 AM,UTC 4.132,5:30 PM,2,6:30 PM,9
E E 360C,TTH,11:00 AM,12:30 PM,EER 1.516,6:00 PM,3,7:00 PM,5
E E 360C,TTH,2:00 PM,3:30 PM,ECJ 1.214,6:30 PM,1,7:30 PM,0
E E 360C,TTH,5:00 PM,6:30 PM,CPE 2.214,7:00 PM,6,8:00 PM,5
E E 460J,TTH,3:30 PM,5:00 PM,EER 1.518,,,8:30 PM,0
E E 460M,TTH,11:00 AM,12:30 PM,ECJ 1.308,,,9:00 PM,4
E E 460N,TTH,2:00 PM,3:30 PM,MEZ B0.306,,,9:30 PM,1
E E 460R,TTH,12:30 PM,2:00 PM,EER 1.518,,,10:00 PM,3
E E 461L,TTH,9:30 AM,11:00 AM,CBA 4.326,,,,
E E 461L,TTH,12:30 PM,2:00 PM,UTC 3.122,,,,
E E 461P,TTH,11:00 AM,12:30 PM,GSB 2.126,,,,
E E 461S,MW,9:00 AM,10:30 AM,BUR 130,,,,
E E 461S,TTH,11:00 AM,12:30 PM,ART 1.120,,,,
E E 362K,TTH,3:30 PM,5:50 PM,BUR 136,,,,
E E 462L,TTH,12:30 PM,2:00 PM,ETC 2.114,,,,
E E 362S,MW,5:00 PM,6:30 PM,ECJ 1.222,,,,
E E 363N,MWF,11:00 AM,12:00 PM,ETC 4.150,,,,
E E 364D,MW,12:00 PM,1:00 PM,ART 1.102,,,,
E E 364E,MW,12:00 PM,1:00 PM,ART 1.102,,,,
E E 464H,MW,3:00 PM,4:30 PM,ECJ 1.214,,,,
E E 464K,MW,3:00 PM,4:30 PM,ECJ 1.214,,,,
E E 369,TTH,2:00 PM,3:30 PM,ECJ 1.316,,,,
E E 371R,TTH,2:00 PM,3:30 PM,EER 1.516,,,,
E E 374K,TTH,2:00 PM,3:30 PM,ECJ 1.306,,,,
E E 379K,TTH,9:30 AM,11:00 AM,EER 1.528,,,,
E E 379K,TMW,10:30 AM,12:00 PM,EER 1.528,,,,
E E 379K,TTH,3:30 PM,5:00 PM,ECJ 1.308,,,,
E E 379K,MW,10:30 AM,12:00 PM,EER 1.516,,,,
CHE 322,TTH,11:00 AM,12:30 PM,CPE 2.216,,,,
CHE 333T,TTH,9:30 AM,11:00 AM,CPE 2.222,,,,
CHE 333T,TTH,12:30 PM,2:00 PM,CPE 1.418,,,,
CHE 333T,TTH,3:30 PM,5:00 PM,CPE 1.418,,,,
CHE 333T,MW,4:00 PM,5:30 PM,CPE 1.418,,,,
CHE 339,TTH,9:30 AM,11:00 AM,ECJ 1.204,,,,
CHE 339T,TTH,12:30 PM,2:00 PM,CMA 3.114,,,,
CHE 348,TTH,11:00 AM,12:30 PM,CPE 2.218,,,,
CHE 350,MWF,12:00 PM,1:00 PM,CPE 2.218,,,,
CHE 253K,MW,9:00 AM,10:00 AM,CPE 2.218,,,,
CHE 354,MWF,12:00 PM,1:00 PM,CPE 2.216,,,,
CHE 354,MWF,12:00 PM,1:00 PM,CPE 2.220,,,,
CHE 355,MWF,9:00 AM,10:00 AM,ETC 2.136,,,,
CHE 359,TTH,2:00 PM,3:30 PM,CPE 2.218,,,,
CHE 360,TTH,8:00 AM,9:30 AM,CPE 2.218,,,,
CHE 363,MWF,10:00 AM,11:00 AM,CPE 2.216,,,,
CHE 363,TTH,12:30 PM,2:00 PM,CPE 2.216,,,,
CHE 364S,MWF,11:00 AM,12:00 PM,CPE 2.218,,,,
CHE 372,TTH,9:30 AM,11:00 AM,CPE 2.218,,,,
CHE 372,TTH,11:00 AM,12:30 PM,CPE 2.220,,,,
CHE 473K,MWF,10:00 AM,11:00 AM,CPE 2.218,,,,
